stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Socioeconomic Achievement and the Machiavellian Personality,"To test the hypothesis that education moderates the relationship between interpersonal manipulativeness (""Machiavellianism"") and social atainment, data from a national sample (N = 1482) were reanalyzed. The resultss indicated that, for men with above-average educations, Machiavellianism is associated with higher levels of occupational prestige and larger incomes. However, for men with below-average educations, Machiavellianism is inversely related to occupational attainment, and unrelated to income attainment. Estimates of a structural equation model of the attainment process further support this interpretation, even after controls for race, age, social origins and education are applied. Extension of these analyses to status attainment among women revealed that Machiavellianism appears to have a facilitative effect upon women's attainment, but no evidence of an interaction effect was found. It is suggested that this pattern of results may reflect differences in the process of attainment in white-collar and blue-collar occupations.",https://www.jstor.org/stable/3033481,Sociometry,10.2307_3033481,Sociology,1977.0,0,0.001121114008128643,0,0.00014181631559040397,1,0.9973129630088806
,,,THE RELATIONSHIP BETWEEN INTERNALIZATION AND SELF-ESTEEM AMONG BLACK ADULTS,"We address whether individual variation in internalization of positive or negative racial stereotypes was associated with low levels of self-esteem in a national probability sample of 2,107 self-identified black adults interviewed face-to-face in 1980 (National Survey of Black Americans). Rejection of positive stereotypes and acceptance of negative stereotypes were statistically linked to declining levels of self-esteem, controlling for background variables such as gender, region, education, age, income, marital status, and skin color. Weak evidence was found to suggest that the relationship between negative stereotype acceptance and self-esteem depended upon how close respondents felt to other blacks. We advocate that closer attention be given to conceptualizing internalization and measuring its psychological impact among stigmatized groups exposed to social discrimination.",https://www.jstor.org/stable/20832150,Sociological Focus,10.2307_20832150,Sociology,2002.0,0,0.0002910052426159382,0,0.00014857982750982046,1,0.9981439113616943
,,,Changes in Women's Status in Women's Magazine Fiction: Differences by Social Class,"Women's magazines reflect and reinforce ideal characteristics of different social groups. Comparing the images of women in women's magazine fiction between 1970 and 1975 and between middle-class and working-class magazines, the former reflected economic and political movements in the relative status of women of that class. Middle-class women's fiction portrayed women as less likely to be valued for dependence and ineffectuality in 1975 as compared to 1970, and more likely to be valued for independence; plot devices were less likely to rely on traditional stereotypical female modes of behavior. In contrast, female passivity became more valued in working-class fiction. While in 1970, working-class women's fiction portrayed and valued the more active female characteristics, by 1975, that fiction had become significantly more traditional than middle-class fiction. This increase in valuing female passivity corresponds to the reversal of the long term secular trend from the 1950s onward of increased female labor force participation. Between 1970 and 1975 the labor force participation of women with less than high school education declined and job segregation by gender increased. Furthermore, the class selectivity in mobilization of symbols by the women's movement is evident.",https://www.jstor.org/stable/800041,Social Problems,10.2307_800041,Sociology,1979.0,0,0.010430369526147842,0,0.00016407479415647686,1,0.9023743271827698
,,,The ethnic geography of EthniCities: The 'American model' and residential concentration in London,"Does London conform to the classic American model — based on the work of the 'Chicago School' — with regard to the residential segregation of ethnic groups? To address this question, methods of analysing census small area data on ethnic group residential segregation in London are introduced, which provide more detailed information on the degree and extent of segregation than the usually employed methods of mapping and calculating single indices. These indicate very little spatial segregation of ethnic minority groups in London compared with New York, which is used here to exemplify the 'American model'. In both cities, however, the White majority is very substantially separated from other ethnic groups.",https://www.jstor.org/stable/23890526,Ethnicities,10.2307_23890526,Sociology,2002.0,0,2.7344509362592362e-05,1,0.9999306201934814,1,0.9829515814781189
,,,Using Sociological Theory to Defuse Anti-Arab/Muslim Nativism and Accelerate Social Integration,"For three days after the 9/11 attacks, hundres of angry suburbanites gathered to surround and lay siege to the bounded neighborhood hosting the Mosque Foundation in Bridgeview, Illinois. I concluded from a two and one-half year ethnographic study of the post-9/11 experience of Arab Muslims in metropolitan Chicago that the underlying sociological conditions giving rise to these post-9/11 events were racialized and nativist understandings held by a significant proportion of southwest suburban whites that positioned Arab and Muslim Americans as cultural threats to their communities. Armed with this knowledge, I designed a research project, outlined here, that included a social action component with the objective of expediting the social and civic integration of Arab and Muslim Americans in metropolitan Chicago.",https://www.jstor.org/stable/23548716,Journal of Applied Social Science,10.2307_23548716,Sociology,2007.0,0,0.3256414830684662,0,0.2691287398338318,1,0.9205809831619263
,,,Racial Disparities in Children with Behavior Problems in School: Causes and Solutions,"This article highlights the racial disparities in children with behavior problems at home and in school and suggest some causes and solutions to address this issue. Contributing causes for the behavior problems exhibited by children were gathered from two studies by the author which examined (1) exposure to maternal substance abuse and (2) changes in homes. Strategies to deal with challenging behaviors by parents, teachers and professionals should recognize the potential impact of substance exposure and changes in the family on the misbehaving child.",https://www.jstor.org/stable/43496964,"Race, Gender & Class",10.2307_43496964,Sociology,2014.0,0,1.0826342077052686e-05,1,0.9971031546592712,1,0.9462246298789978
,,,The Role of Father's Occupation on Intergenerational Educational and Occupational Mobility: The Case of Second-Generation Chinese Americans in New York,"A considerable body of research has found a positive relationship between parents' socioeconomic Status and children's educational achievement and attainment. The predictive role of parents' socioeconomic Status generally applies for most racial and ethnic groups, but that association does not always hold for groups that exhibit high levels of education, such as Asian Americans. This article considers the role of parents' education and occupation on children's educational and occupational attainment for Chinese Americans aged 18-32. The results corroborate the positive link between parents' socioeconomic Status and children's educational and occupational attainments. Children of Professionals command an educational and occupational advantage over children of entrepreneurs and children of manual workers. Yet, the children of entrepreneurs attend selective Colleges and obtain Professional occupations in proportions closely following those of the children of Professionals. Although the educational attainments between the fathers who worked as entrepreneurs and those fathers engaged in manual work were comparable, it was the children of entrepreneurs who surpassed the children of manual workers with respect to educational and occupational achievement and attainment. This suggests that immigrant entrepreneurship contributes in the upward educational and occupational mobility of the children of entrepreneurs.",https://www.jstor.org/stable/40210338,Sociological Forum,10.2307_40210338,Sociology,2009.0,0,1.774844895408023e-05,1,0.8281435370445251,1,0.9983764886856079
,,,U.S. PATRIOT ACT AND RACIAL PROFILING: ARE THERE CONSEQUENCES OF DISCRIMINATION?,"Since September 11, 2001 new anti-terrorism laws like the U.S. Patriot Act have been instituted for national security purposes. These new laws have made many Muslim Americas very vulnerable to racial profiling and discrimination. The data use for this analysis was the Pew Research Forum Muslim Americans: Middle Class and Mostly Mainstream 2007. Robert Agnew's General Strain theory was used to examine whether racial profiling and discrimination enacted by these laws generate support for terrorism. Results indicate that there is very little support for associating Muslim racial profiling to support for terrorism. However, African Americans are more likely to support terrorism when they experience racial profiling and discrimination.",https://www.jstor.org/stable/41289191,Michigan Sociological Review,10.2307_41289191,Sociology,2011.0,0,2.066196975647472e-05,1,0.99887615442276,1,0.997469425201416
,,,Changes in the Segregation of Whites from Blacks During the 1980s: Small Steps Toward a More Integrated Society,"Residential segregation between blacks and whites persists in urban America. However, evidence from the 1990 Census suggests that peak segregation levels were reached in the past. We evaluate segregation patterns in 1990 and trends in segregation between 1980 and 1990 for the 232 U.S. metropolitan areas with substantial black populations. We review the historical forces that intensified segregation for much of the twentieth century, and identify key developments after 1960 that challenged institutionalized segregation. The results suggest that the modest declines in segregation observed during the 1970s continued through the 1980s. While segregation decreased in most metropolitan areas, the magnitude of these changes was uneven. Testing hypotheses developed from an ecological model, we find that the lowest segregation levels in 1990 and the largest percentage decreases in segregation scores between 1980 and 1990 occurred in young, southern and western metropolitan areas with significant recent housing construction. Because the black population continues to migrate to such areas, residential segregation between blacks and whites should decline further, but remain well above that for Hispanics or Asians.",https://www.jstor.org/stable/2096131,American Sociological Review,10.2307_2096131,Sociology,1994.0,0,0.00034112471621483564,0,0.00020443732501007617,1,0.9994426369667053
,,,MARITAL STABILITY AND SOCIAL MOBILITY,"Studies of social mobility have produced ""dissociative"" and ""compensatory"" hypotheses about its effects on primary group relationships, and on the former hypothesis social mobility could be expected to be potentially disruptive of marriage, although in fact the relationship between mobility and marital stability has not been widely studied. Taking as starting point an article which denies the dissociative hypothesis in regard to marriage, this paper indicates that there are problems both of data and of definition in resolving this issue. The paper also suggests that there are reasons for supposing that social mobility can be disruptive of marriage, but that the matter cannot be settled by examining the overall statistical relationships of a few gross indicators. Rather than measuring net effects, enquiry should seek to discover patterns of effect and refined depiction of syndromes of marital instability.",https://www.jstor.org/stable/23028525,International Journal of Sociology of the Family,10.2307_23028525,Sociology,1978.0,0,0.00022596785856876522,0,0.00019645033171400428,1,0.9749587178230286
