0,journal-article-10.2307_2065002
1,journal-article-10.2307_3380821
2,journal-article-10.2307_2095822
4,journal-article-10.2307_40836133
5,journal-article-10.2307_2579666
6,journal-article-10.2307_2137036
7,journal-article-10.2307_27747507
8,journal-article-10.2307_41274741
9,journal-article-10.2307_24708246
10,journal-article-10.2307_humjsocrel.34.33
11,journal-article-10.2307_41678755
12,journal-article-10.2307_41300824
13,journal-article-10.2307_40608228
14,journal-article-10.2307_27522841
15,journal-article-10.2307_41064839
16,journal-article-10.2307_3653847
17,journal-article-10.2307_40970475
18,journal-article-10.2307_24048141
19,journal-article-10.2307_2579310
20,journal-article-10.2307_27522643
21,journal-article-10.2307_42856964
22,journal-article-10.2307_3088141
23,journal-article-10.2307_583974
24,journal-article-10.2307_2137237
25,journal-article-10.2307_822641
27,journal-article-10.2307_3517123
28,journal-article-10.2307_3516813
29,journal-article-10.2307_27749274
30,journal-article-10.2307_41431668
31,journal-article-10.2307_352998
32,journal-article-10.2307_2661623
33,journal-article-10.1086_659639
34,journal-article-10.2307_20142292
35,journal-article-10.2307_3599840
36,journal-article-10.2307_23892193
37,journal-article-10.2307_2629490
39,journal-article-10.2307_40645819
40,journal-article-10.2307_3053020
41,journal-article-10.2307_656922
42,journal-article-10.2307_2661495
43,journal-article-10.2307_25146140
44,journal-article-10.2307_2579917
45,journal-article-10.2307_3108457
46,journal-article-10.2307_42956069
47,journal-article-10.2307_25835773
48,journal-article-10.2307_42863469
49,journal-article-10.2307_2083337
51,journal-article-10.2307_42852138
52,journal-article-10.2307_42852389
53,journal-article-10.1525_sp.2005.52.4.477
54,journal-article-10.2307_27521278
55,journal-article-10.2307_40228372
56,journal-article-10.2307_20831025
57,journal-article-10.2307_20832114
58,journal-article-10.2307_2777934
59,journal-article-10.2307_351822
60,journal-article-10.2307_42860122
61,journal-article-10.2307_2786665
62,journal-article-10.2307_3517139
63,journal-article-10.2307_27526934
64,journal-article-10.2307_1386412
65,journal-article-10.2307_24490954
67,journal-article-10.2307_40604617
68,journal-article-10.2307_20142115
69,journal-article-10.2307_27638744
71,journal-article-10.2307_23028823
72,journal-article-10.2307_42863816
73,journal-article-10.2307_40539194
74,journal-article-10.2307_27522018
76,journal-article-10.2307_24719154
77,journal-article-10.2307_20868902
78,journal-article-10.2307_3710716
79,journal-article-10.2307_4148779
80,journal-article-10.2307_23745390
81,journal-article-10.2307_3100265
82,journal-article-10.2307_2786714
84,journal-article-10.2307_4194687
85,journal-article-10.2307_23250079
86,journal-article-10.2307_3053786
87,journal-article-10.2307_2578285
88,journal-article-10.2307_42956459
89,journal-article-10.2307_2629817
90,journal-article-10.2307_2629696
91,journal-article-10.2307_2487707
92,journal-article-10.2307_42857144
94,journal-article-10.2307_40060247
95,journal-article-10.2307_23620627
96,journal-article-10.2307_2632871
97,journal-article-10.2307_24579885
98,journal-article-10.2307_2136524
99,journal-article-10.2307_41064918
100,journal-article-10.2307_41674787
101,journal-article-10.2307_40663913
102,journal-article-10.2307_585011
103,journal-article-10.2307_40376124
104,journal-article-10.2307_3517401
106,journal-article-10.2307_3069239
107,journal-article-10.2307_41554280
108,journal-article-10.2307_2654697
109,journal-article-10.2307_2629840
110,journal-article-10.2307_3053431
111,journal-article-10.2307_41674890
112,journal-article-10.2307_352875
114,journal-article-10.2307_3094870
115,journal-article-10.2307_3712529
117,journal-article-10.2307_2136985
118,journal-article-10.2307_1170955
119,journal-article-10.2307_42858966
120,journal-article-10.2307_2787100
121,journal-article-10.2307_2786364
122,journal-article-10.2307_42858150
123,journal-article-10.2307_3097277
124,journal-article-10.2307_41421646
125,journal-article-10.2307_43294566
